id,name,short,type,rank,force,date,provenance,url,notes
D01,Памятка «Нейрон»: сравнение материалов стратегических сессий,Памятка Нейрон,методика / инструкция,4,методический источник,2026,local_forensic_copy,local: Памятка_по_сравнению_материалов_СС_v2.pdf,"Описывает режим «Все пары», Excel-выгрузку, статусы «противоречит»/«частично». Не является источником права."
D02,Результат сравнения презентаций по нацпроектам v1 КРАТКО,Пример выгрузки Нейрон,пример выгрузки / таблица,4,пример результата,2026,local_forensic_copy,local: Результат_сравнения_презентаций_по_нацпроектам_v1_КРАТКО.xlsx,"Используется как пример структуры выгрузки, не как источник по миграции."
D03,ВЦИОМ: Демография России 2026 — вызовы и будущие стратегии,ВЦИОМ,аналитическая презентация,3,аналитика / claim source,2026,local_forensic_copy,local: Показатели Миграции 2026_ВЦИОМ.pdf,"Слайды 3-5 содержат миграционные claims: сопротивление миграции, ужесточение, образовательная/интеллектуальная миграция."
D04,Концепция государственной миграционной политики РФ на 2026-2030 годы,Концепция 2026-2030,стратегический НПА / Указ,1,primary law / strategy,2025-10-15,official/fallback mirror,https://www.kremlin.ru/acts/bank/52490,Основной стратегический документ нового цикла.
D05,"Концепция государственной миграционной политики РФ на 2019-2025 годы, ред. 2023",Концепция 2019-2025,стратегический НПА / Указ,1,primary law / strategy,2018-10-31 + ред. 2023,official/fallback mirror,https://www.kremlin.ru/acts/bank/49202,"Старая Концепция, нужна для structural/policy diff."
D06,109-ФЗ «О миграционном учете иностранных граждан и лиц без гражданства»,109-ФЗ,федеральный закон,1,primary law,2006 + ред. 2025,legal system mirror,https://www.consultant.ru/document/cons_doc_LAW_61569/,"Миграционный учет, место пребывания/жительства, уведомления."
D07,Распоряжение Правительства №30-р: план реализации Концепции 2019-2025 на 2024-2025 годы,План 30-р,план мероприятий,1,government plan,2024-01-16,official/fallback mirror,https://www.consultant.ru/document/cons_doc_LAW_467581/,Операционный план старого цикла.
D08,Распоряжение Правительства №4171-р: план реализации Концепции 2026-2030,План 4171-р,план мероприятий,1,government plan,2025-12-30,official/fallback mirror,https://www.consultant.ru/document/cons_doc_LAW_523800/,Операционный план нового цикла.
D09,Клерк: «Иностранные работники и изменения 2025 года»,Клерк,вторичный обзор,3,secondary digest,2025,web snapshot / URL,https://www.klerk.ru/blogs/astral/658232/,"Используется как карта claims, не как норма."
D10,"Минэкономразвития: миграционная политика / материалы по ИГ, ЕАЭС и цифровым возможностям",Минэк страница,ведомственная информация / snapshot,2,official/near-official information,snapshot v8,local MHT/HTML/PDF + failed official URL trace,https://www.economy.gov.ru/material/departments/d04/migracionnaya_politika/,"Ведомственная страница; official URL имел timeout, локальный MHT/PDF сохранен."
D11,115-ФЗ «О правовом положении иностранных граждан в Российской Федерации»,115-ФЗ,федеральный закон,1,primary law,2002 + ред. 2025,legal system mirror,https://www.consultant.ru/document/cons_doc_LAW_37868/,"Правовое положение, трудовая деятельность, патенты, разрешения, РВП/ВНЖ."
D12,"НК РФ: статьи 227.1 и 333.28/333.29 по патентам, НДФЛ и госпошлинам",НК РФ,кодекс / налоги,1,primary law,ред. 2025,legal system mirror,https://www.consultant.ru/document/cons_doc_LAW_19671/,"Патентный НДФЛ, государственные пошлины."
D13,"КоАП РФ: статьи 18.8, 18.9, 18.10, 18.15",КоАП РФ,кодекс / ответственность,1,primary law,ред. 2025,legal system mirror,https://www.consultant.ru/document/cons_doc_LAW_34661/,"Административная ответственность иностранцев, приглашающих сторон и работодателей."
D14,121-ФЗ от 23.05.2025: эксперимент дополнительных механизмов учета иностранных граждан,121-ФЗ,федеральный закон / эксперимент,1,primary law,2025-05-23,official/fallback mirror,https://rg.ru/documents/2025/05/30/fz-121doc.html,"Экспериментальные механизмы учета, в т.ч. Москва/МО."
D15,"260-ФЗ от 08.08.2024: режим высылки, реестр контролируемых лиц, 90 дней",260-ФЗ,федеральный закон / контроль,1,primary law,2024-08-08,official/fallback mirror,https://normativ.kontur.ru/document?documentId=486089&moduleId=1,"Режим высылки, реестр контролируемых лиц, контроль незаконного пребывания."
D16,271-ФЗ от 31.07.2025: изменения в НК РФ по госпошлинам,271-ФЗ,федеральный закон / налоги,1,primary law,2025-07-31,official/fallback mirror,https://www.pnp.ru/law/2025/07/31/federalnyy-zakon-271-fz.html,Госпошлины по миграционным действиям.
D17,Указ Президента №467 от 09.07.2025: цифровой профиль иностранного гражданина,Указ №467,Указ Президента / цифровой профиль,1,primary law,2025-07-09,official/fallback mirror,https://base.garant.ru/412304934/,Поручение о цифровом профиле иностранного гражданина.
D18,Минэк: брошюра «Упрощенное получение ВНЖ иностранному инвестору» на 9 языках,Брошюра Минэка ВНЖ,ведомственная брошюра / информационный материал,2,official information / brochure,snapshot v8,local PDF,local: Simplified_residence_permit_obtaining_process_brochure_ru_en_cn.pdf,Информационное изложение критериев инвестора по ПП №2573; мультиязычный документ.
D19,114-ФЗ «О порядке выезда из Российской Федерации и въезда в Российскую Федерацию»,114-ФЗ,федеральный закон,1,primary law,1996 + ред. 2025,legal system mirror,https://www.consultant.ru/document/cons_doc_LAW_11376/,Общий режим въезда/выезда.
D20,ПП РФ №2573: критерии иностранного инвестора для ВНЖ без РВП,ПП №2573,постановление Правительства / критерии,1,primary law / criteria,2022-12-31 + ред. 2023,legal system mirror + fallbacks,https://base.garant.ru/406067851/,Первичный акт для проверки брошюры Минэка по ВНЖ инвестора.
D21,ПП РФ №1510 от 07.11.2024: эксперимент по правилам въезда/выезда и цифровому профилю,ПП №1510,постановление Правительства / ruID,1,primary law / experiment,2024-11-07,legal system mirror + fallbacks,https://base.garant.ru/410728090/,"ruID, цифровой профиль, биометрия, правила въезда-выезда."
D22,ПП РФ №1562 от 08.10.2025: изменения в ПП №1510,ПП №1562,постановление Правительства / изменения,1,primary amendment,2025-10-08,legal system mirror + fallbacks,https://base.garant.ru/412832447/,"Актуализация ПП1510, биометрический контур и этапы эксперимента."
D23,ПП РФ №468 от 27.04.2026: изменения в ПП №1510,ПП №468,постановление Правительства / изменения,1,primary amendment,2026-04-27,legal system mirror + fallbacks,https://base.garant.ru/414141997/,"Перспективная редакция ПП1510 с 30.06.2026, продление эксперимента."
D24,270-ФЗ от 31.07.2025: изменения в отдельные законодательные акты РФ,270-ФЗ,федеральный закон / изменения,1,primary amendment,2025-07-31,legal system mirror + fallbacks,https://base.garant.ru/412422478/,"Изменения 115-ФЗ, 109-ФЗ, 121-ФЗ; учет, госпошлины, патенты, размещение."
D25,281-ФЗ от 31.07.2025: изменения в КоАП РФ,281-ФЗ,федеральный закон / КоАП,1,primary amendment,2025-07-31,legal system mirror + fallbacks,https://base.garant.ru/412423444/,Изменения КоАП; требует сверки с конкретными составами 18.x.
D26,"Договор о ЕАЭС, раздел XXVI, статьи 96-98 «Трудовая миграция»",Договор ЕАЭС ст. 96-98,международный договор,1,international treaty,2014 + ред.,legal system mirror,https://www.consultant.ru/document/cons_doc_LAW_163855/fcf2c38d3616dbe10077fe0638a3c0583855f5cd/,Трудовая миграция государств-членов ЕАЭС; ст.97 - разрешение на трудовую деятельность не требуется.
D27,ПП РФ №1375: поправка к ПП №2573 по критериям иностранного инвестора,ПП №1375,постановление Правительства / изменение ПП2573,1,primary amendment,2023,fallback mirror downloaded,https://base.garant.ru/407572394/,Используется как дополнительный акт к ПП2573; найден в fallback manifest v8.
