id,theme,color,text,reason,basis,status
RG-001,ЕАЭС,красный,Узбекистан и Таджикистан входят в блок ЕАЭС.,Некорректный перенос сервисного охвата на правовой режим.,Договор ЕАЭС ст.96-98,manual_review
RG-002,ЕАЭС,зеленый,Проект/приложение «Работа в ЕАЭС» может иметь сервисный охват шире ЕАЭС; режим Узбекистана/Таджикистана проверяется отдельно.,Корректное разграничение правового режима и сервиса.,D26 + D11,match
RG-003,ruID,красный,ПП1510 действует как единый неизменный акт.,Не учитывает ПП1562 и перспективную правку ПП468.,D21-D23,outdated
RG-004,ruID,зеленый,ПП1510 читать в текущей редакции с ПП1562; перспективный слой с ПП468 выделять отдельно.,Редакционная карта корректна.,D21-D23,match
RG-005,ВНЖ инвестора,красный,Брошюра Минэка сама подтверждает все критерии ВНЖ инвестора.,Брошюра не первичный НПА.,D18,manual_review
RG-006,ВНЖ инвестора,зеленый,Критерии инвестора подтверждать по ПП2573 с учетом ПП1375; брошюру использовать как справочный пересказ.,НПА имеет приоритет.,D20+D27,match
RG-007,ВЦИОМ,красный,ВЦИОМ доказал юридическую норму о сопротивлении миграции.,"Слайды ВЦИОМ являются аналитическими claims, не НПА.",D03,source_gap
RG-008,ВЦИОМ,зеленый,Claim ВЦИОМ о сопротивлении миграции требует социологических подтверждений; НПА используются только для мер интеграции/контроля.,Разделены НПА и социология.,D03+D04+D08,partial_overlap
RG-009,КоАП,красный,281-ФЗ является основным источником по всем миграционным штрафам.,281-ФЗ - change layer; основа - конкретные статьи КоАП.,D25,partial_overlap
RG-010,КоАП,зеленый,По ответственности использовать КоАП 18.8/18.9/18.10/18.15; 281-ФЗ учитывать как слой изменений.,Корректный источник.,D13+D25,match
